Token Address,reason,pairs_count,liquidity_usd,liquidity_fmt,launch_dt,launch_conf,vol24,vol24_fmt,launch_age_days
DpBzjtgGLF7QA9Ug3eUVGbnqa6j3jvYBn1XuQuktvfhm,launch_older_than_30.0d,1.0,,,2025-08-12T20:08:13+00:00,high,,,
AThPaR9puoU5z5FrLm5kMKaDsDHgu6efHqtHS2P6p7Rd,launch_older_than_30.0d,1.0,,,2025-01-20T09:43:36+00:00,low,,,
8avjtjHAHFqp4g2RR9ALAGBpSTqKPZR8nRbzSTwZERA,too_many_pairs>8_and_older_than_30.0d,9.0,,,2025-11-05T18:35:27+00:00,,,,101.64
CBhWmCL8Gkux3obLgeWiCfDQSjsR24cV1kehksHgpump,liquidity<25000.0,3.0,10256.83,10.26k,,,,,
vtUhPDpK3BUp1M4SFPPY6hPU2Xc7FSreFRi2TXmpump,no_valid_launch_pair,1.0,,,,,,,
x95HN3DWvbfCBtTjGm587z8suK3ec6cwQwgZNLbWKyp,too_many_pairs>8_and_older_than_30.0d,30.0,,,2025-11-27T15:01:04+00:00,,,,79.79
BVPQuES4tDnVSfycm8bASuQne7LXzRJVTFtnW1uCGN3T,liquidity<25000.0,3.0,6823.33,6.82k,,,,,
HrSn4QPYeNfTihtJqRBuoui1BF8AHaTr2QqE18PXpump,launch_older_than_30.0d,1.0,,,2026-01-13T09:05:37+00:00,high,,,
7FG1MarsnHCZAuGDMFwBY2WTiFMjSiZK4sgwEFYjdW37,no_valid_launch_pair,1.0,,,,,,,
BqYJQ6hVYxYzGrSbUyXy52oP6aFduq1PRxUVSrFtuDgz,no_valid_launch_pair,1.0,,,,,,,
FVaXXTJBdMbZzuWgxXAJtoHGpUdfnxWTjvtUrCTTpump,no_valid_launch_pair,1.0,,,,,,,
A7Wh2EEGDtVFUuhtbXQm7r5nBkHryaeR7J9vikJrpump,liquidity<25000.0,3.0,4069.89,4.07k,,,,,
BftUiGB2iDkNDa8AKdhtLuJHHXiUfqLvTNmiXaSopump,launch_older_than_30.0d,3.0,,,2025-01-19T01:01:03+00:00,low,,,
59jGVqB48TAMudPZoJxdAsCfpxH5dqs6wTEZyDrcpump,no_valid_launch_pair,1.0,,,,,,,
JBpLXvYaZi2unNHnb6iwcXTrv4rFpYa1KkwnVfiypump,no_valid_launch_pair,1.0,,,,,,,
4Py341nyB2bvCbWUGT4MF9vGcmMwhdi85JFuvpz9pump,no_valid_launch_pair,1.0,,,,,,,
HggGbF2Kygfq4bwL9cNguZ2CrMhBmVnXHS8CVoKCx6bj,liquidity<25000.0,2.0,3514.51,3.51k,,,,,
BJYc3f8Kv1iEvmc2BVvvye1YU8HM8sTESsAhDfhopump,liquidity<25000.0,1.0,6453.51,6.45k,,,,,
FNXVogeeLGfKtzvYN2aJAe2kZJkmNVDy6z8Tcidmpump,liquidity<25000.0,3.0,15898.8,15.90k,,,,,
13JnQXUuEbgoZa4WSWdkd7Mo2uhAt8HWiE3gjUxUpump,liquidity<25000.0,1.0,3285.07,3.29k,,,,,
AvX4nLFyUjQAVvQqQLUZRm7fMCSmFYb1gjfh55Ewpump,no_valid_launch_pair,1.0,,,,,,,
EbdboAEynCiu1jf1C7N8paCbpLXJuB8BbhRjB6aVpump,no_valid_launch_pair,1.0,,,,,,,
DPgo26tLZXdNfB24ahP2LTXsxSPxvxPq7takvavppump,launch_older_than_30.0d,8.0,,,2025-10-07T01:35:45+00:00,low,,,
C2NbnX6VToFjBpmGpLWyUH1pnss3CwfvuY2giqiZpump,no_valid_launch_pair,1.0,,,,,,,
GtRKunUs8bRwxAfXWB8xya8mav2k9Y3xCF7DWJnGpump,no_valid_launch_pair,1.0,,,,,,,
9s78KabgJMcHYEmwVxQfyWbS9r8cLGqV8iGGb1Dcpump,no_valid_launch_pair,1.0,,,,,,,
CkxNwo5L9FXCiR6gr8EfepVwx9ePQujJ2YEporLZpump,no_valid_launch_pair,1.0,,,,,,,
DeJn7B5Yd1DJXPcA5C3ynAxQTZqMkeLBkqWxTZM9pump,no_valid_launch_pair,1.0,,,,,,,
xoa1gmvCRVBFvfSFynoXXcFP5jtLvZ8mnUAwjNYpump,no_valid_launch_pair,1.0,,,,,,,
8KASFBHLXKjp5YZiafbVJ9cE4LbjoxzKjempdYUepump,no_valid_launch_pair,1.0,,,,,,,
